epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,21.5368,2.29548,4.46636,1.92402,0.07213,0.43509,0.09686,0.05718,1.48228,4.01124,1.47141,0.0001,0.0001,0.0001
2,33.5677,1.34275,3.64588,1.30439,0.02307,0.87105,0.21735,0.12069,1.19486,3.71539,1.16426,0.000205842,0.000205842,0.000205842
3,47.7629,1.29327,2.99477,1.22864,0.0224,0.99167,0.39701,0.24446,1.14319,3.34913,1.13174,0.000307328,0.000307328,0.000307328
4,60.9069,1.26958,2.46224,1.27759,0.94974,0.24478,0.49706,0.33407,1.16416,3.16142,1.15017,0.000404458,0.000404458,0.000404458
5,73.8383,1.22761,2.1558,1.22834,0.94496,0.2527,0.55278,0.35527,1.19737,3.04502,1.1483,0.000497232,0.000497232,0.000497232
6,86.5948,1.23644,2.01945,1.19374,0.93452,0.16979,0.49978,0.31856,1.28094,3.00718,1.17704,0.00058565,0.00058565,0.00058565
7,99.4212,1.20398,1.76063,1.17029,0.80146,0.43132,0.59851,0.39522,1.17558,2.55983,1.14738,0.000669712,0.000669712,0.000669712
8,112.377,1.24182,1.7607,1.18063,0.8382,0.5259,0.69319,0.43066,1.27748,2.27314,1.20089,0.000749418,0.000749418,0.000749418
9,124.661,1.20903,1.62857,1.16881,0.84912,0.60055,0.76135,0.48332,1.24521,2.08949,1.21536,0.000824768,0.000824768,0.000824768
10,136.218,1.20742,1.50685,1.13663,0.83491,0.75724,0.90693,0.57408,1.24211,1.53932,1.24474,0.0008218,0.0008218,0.0008218
11,147.891,1.21551,1.47362,1.14864,0.85744,0.89198,0.96067,0.63093,1.19643,1.17954,1.18433,0.000802,0.000802,0.000802
12,160.606,1.17598,1.452,1.12574,0.85767,0.89372,0.9352,0.61442,1.22285,1.25459,1.18565,0.0007822,0.0007822,0.0007822
13,172.396,1.163,1.40746,1.13123,0.94202,0.94155,0.97944,0.66094,1.1785,0.93739,1.15026,0.0007624,0.0007624,0.0007624
14,185.512,1.18053,1.3444,1.1168,0.92876,0.94675,0.96504,0.6258,1.21176,0.94114,1.18662,0.0007426,0.0007426,0.0007426
15,198.482,1.13598,1.30981,1.10072,0.92778,0.93576,0.96921,0.65547,1.14876,0.84849,1.15063,0.0007228,0.0007228,0.0007228
16,211.183,1.14954,1.28201,1.10773,0.90167,0.93855,0.96666,0.62486,1.17921,0.89136,1.1499,0.000703,0.000703,0.000703
17,222.48,1.13336,1.19599,1.08457,0.95557,0.96835,0.98036,0.64725,1.20365,0.78413,1.18527,0.0006832,0.0006832,0.0006832
18,234.984,1.13627,1.18883,1.1155,0.9806,0.93084,0.98263,0.64342,1.198,0.78816,1.16086,0.0006634,0.0006634,0.0006634
19,246.452,1.1476,1.13945,1.10303,0.91236,0.97414,0.98359,0.64667,1.19356,0.76485,1.15282,0.0006436,0.0006436,0.0006436
20,260.368,1.08476,1.10927,1.06801,0.94645,0.93023,0.97923,0.65129,1.16214,0.77909,1.12868,0.0006238,0.0006238,0.0006238
21,271.865,1.1112,1.1073,1.06885,0.94481,0.97412,0.98067,0.62046,1.23438,0.74179,1.18517,0.000604,0.000604,0.000604
22,284.224,1.13188,1.15561,1.09412,0.96602,0.97568,0.98259,0.65416,1.18135,0.70887,1.14847,0.0005842,0.0005842,0.0005842
23,297.494,1.10476,1.07134,1.0872,0.97816,0.98032,0.98682,0.63418,1.19988,0.70243,1.15952,0.0005644,0.0005644,0.0005644
