epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
24,309.204,1.11271,1.05553,1.08742,0.97062,0.96291,0.98378,0.65625,1.14924,0.65278,1.11836,0.0005446,0.0005446,0.0005446
25,322.844,1.08091,1.02407,1.05983,0.97728,0.95578,0.98484,0.64382,1.23186,0.69316,1.14523,0.0005248,0.0005248,0.0005248
26,335.807,1.07813,0.99594,1.06906,0.98181,0.97909,0.98641,0.66545,1.14308,0.66083,1.11201,0.000505,0.000505,0.000505
27,347.904,1.07002,0.99997,1.05599,0.99407,0.97636,0.98683,0.64972,1.17294,0.63695,1.14438,0.0004852,0.0004852,0.0004852
28,362.911,1.03376,0.96817,1.0567,0.97991,0.96839,0.9844,0.65333,1.14656,0.64691,1.12026,0.0004654,0.0004654,0.0004654
29,374.918,1.0556,0.93702,1.04655,0.96632,0.97551,0.98573,0.626,1.2519,0.69208,1.18475,0.0004456,0.0004456,0.0004456
30,389.219,1.05903,0.98022,1.06826,0.98569,0.97364,0.98898,0.66061,1.16203,0.66613,1.12747,0.0004258,0.0004258,0.0004258
31,401.198,1.05091,0.97577,1.0554,0.98346,0.97774,0.98646,0.64452,1.19286,0.61779,1.15183,0.000406,0.000406,0.000406
32,413.628,1.05741,0.94941,1.07099,0.97912,0.98792,0.98806,0.65817,1.13545,0.60878,1.11251,0.0003862,0.0003862,0.0003862
33,426.02,1.06981,0.93829,1.05876,0.95377,0.98554,0.98641,0.65935,1.14504,0.59915,1.12386,0.0003664,0.0003664,0.0003664
34,438.634,1.0394,0.90595,1.05278,0.96636,0.96419,0.98384,0.65337,1.17008,0.61073,1.11883,0.0003466,0.0003466,0.0003466
35,450.751,1.02216,0.88391,1.04964,0.9758,0.97794,0.98602,0.65754,1.15611,0.57765,1.12739,0.0003268,0.0003268,0.0003268
36,463.612,1.03024,0.88573,1.03743,0.97346,0.97138,0.98602,0.66436,1.15107,0.58422,1.12599,0.000307,0.000307,0.000307
37,476.049,1.00952,0.89351,1.04682,0.97304,0.97356,0.98605,0.66576,1.14899,0.57549,1.11875,0.0002872,0.0002872,0.0002872
38,489.877,1.02598,0.86686,1.02206,0.97103,0.97013,0.98409,0.64904,1.16311,0.56833,1.13024,0.0002674,0.0002674,0.0002674
39,503.115,1.00144,0.87611,1.03749,0.96444,0.97109,0.9824,0.67429,1.13185,0.57317,1.1181,0.0002476,0.0002476,0.0002476
40,516.302,1.01904,0.8671,1.02072,0.96254,0.97349,0.98194,0.67414,1.15581,0.57839,1.11692,0.0002278,0.0002278,0.0002278
41,535.083,1.00013,1.01195,1.04742,0.9469,0.96535,0.98156,0.67023,1.17571,0.59378,1.12839,0.000208,0.000208,0.000208
42,547.163,0.9869,0.9808,1.02212,0.98595,0.94619,0.9804,0.6434,1.17844,0.67456,1.14448,0.0001882,0.0001882,0.0001882
43,559.354,0.98011,0.99204,1.029,0.98692,0.94887,0.98354,0.65508,1.18204,0.60873,1.14482,0.0001684,0.0001684,0.0001684
44,571.231,0.96607,0.95456,1.01613,0.98582,0.95137,0.98046,0.6594,1.18279,0.57453,1.14324,0.0001486,0.0001486,0.0001486
45,583.495,0.9529,0.93011,1.02507,0.97143,0.97477,0.98025,0.6538,1.18129,0.5754,1.13882,0.0001288,0.0001288,0.0001288
46,594.562,0.94546,0.93023,1.02136,0.97942,0.96804,0.98164,0.65613,1.18001,0.55886,1.14504,0.000109,0.000109,0.000109
47,606.32,0.93882,0.91837,0.99222,0.98557,0.97741,0.98723,0.65465,1.18366,0.5537,1.14682,8.92e-05,8.92e-05,8.92e-05
48,617.926,0.94061,0.91231,1.01379,0.98419,0.97759,0.98721,0.64989,1.17521,0.55037,1.13854,6.94e-05,6.94e-05,6.94e-05
49,629.633,0.92176,0.89609,1.02007,0.97866,0.98369,0.98718,0.65025,1.16981,0.55134,1.13634,4.96e-05,4.96e-05,4.96e-05
50,641.133,0.91204,0.89163,1.01156,0.97663,0.9843,0.9872,0.65366,1.16476,0.54722,1.13717,2.98e-05,2.98e-05,2.98e-05
