epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,52.9321,2.1822,4.0985,1.6258,0.04892,0.23772,0.10726,0.07595,1.67451,4.13366,1.38137,0.0001,0.0001,0.0001
2,103.659,1.44379,3.56341,1.21172,0.02005,0.69605,0.20987,0.13169,1.31913,3.78276,1.03971,0.000205842,0.000205842,0.000205842
3,154.615,1.36079,3.00074,1.11902,0.02279,0.82281,0.32001,0.18918,1.27225,3.62104,1.05384,0.000307328,0.000307328,0.000307328
4,205.497,1.36204,2.42671,1.1288,0.98878,0.20945,0.42435,0.25794,1.23768,3.42359,1.09524,0.000404458,0.000404458,0.000404458
5,255.316,1.34117,1.97796,1.12555,0.95738,0.3084,0.51171,0.31737,1.16902,3.1008,1.06489,0.000497232,0.000497232,0.000497232
6,305.136,1.31712,1.76075,1.11252,0.92347,0.34355,0.57852,0.36357,1.21978,2.78316,1.09252,0.00058565,0.00058565,0.00058565
7,355.043,1.29111,1.57675,1.12083,0.7758,0.45339,0.67629,0.42168,1.25395,2.55301,1.13052,0.000669712,0.000669712,0.000669712
8,405.322,1.27911,1.48337,1.08183,0.83863,0.64243,0.84383,0.52152,1.23687,2.03797,1.11021,0.000749418,0.000749418,0.000749418
9,455.5,1.26502,1.35668,1.08175,0.80654,0.64096,0.86116,0.54918,1.21744,1.77455,1.10743,0.000824768,0.000824768,0.000824768
10,505.357,1.24166,1.25076,1.07435,0.77007,0.78357,0.90355,0.58195,1.24312,1.68928,1.09459,0.0008218,0.0008218,0.0008218
11,553.785,1.26528,1.25891,1.08396,0.85721,0.75657,0.95071,0.61426,1.25752,1.5573,1.10514,0.000802,0.000802,0.000802
12,602.229,1.22751,1.15591,1.06758,0.88061,0.90102,0.9815,0.63563,1.22016,1.3874,1.09294,0.0007822,0.0007822,0.0007822
13,650.791,1.21783,1.11337,1.06957,0.91189,0.90581,0.97804,0.64161,1.21654,1.22432,1.09889,0.0007624,0.0007624,0.0007624
14,700.371,1.21159,1.06336,1.0804,0.9079,0.94061,0.98254,0.65858,1.17606,1.20675,1.09435,0.0007426,0.0007426,0.0007426
15,751.638,1.18981,1.06129,1.07499,0.9247,0.91623,0.97722,0.66344,1.16845,1.24997,1.07733,0.0007228,0.0007228,0.0007228
16,801.876,1.17328,1.00457,1.05809,0.9449,0.94752,0.98374,0.64886,1.20004,1.12524,1.07411,0.000703,0.000703,0.000703
17,852.233,1.18944,1.00284,1.05713,0.96817,0.94343,0.98268,0.6567,1.17903,1.09773,1.0667,0.0006832,0.0006832,0.0006832
18,902.694,1.15867,0.96402,1.05221,0.94509,0.96873,0.98158,0.64098,1.18816,1.08011,1.07729,0.0006634,0.0006634,0.0006634
19,952.868,1.14581,0.92451,1.03334,0.97093,0.96875,0.98511,0.66201,1.15881,1.00372,1.05772,0.0006436,0.0006436,0.0006436
20,1003.97,1.14586,0.93195,1.02797,0.96305,0.95953,0.98436,0.658,1.17587,0.97739,1.06528,0.0006238,0.0006238,0.0006238
21,1054.42,1.15172,0.89993,1.03955,0.96172,0.97412,0.9859,0.65449,1.17195,0.95148,1.06313,0.000604,0.000604,0.000604
22,1106.26,1.15718,0.91098,1.04291,0.97704,0.98248,0.98691,0.64595,1.19805,0.92149,1.07106,0.0005842,0.0005842,0.0005842
23,1156.22,1.12814,0.87024,1.03404,0.96422,0.97806,0.98555,0.64165,1.19111,0.91234,1.07201,0.0005644,0.0005644,0.0005644
24,1206.85,1.08718,0.85586,1.03724,0.96585,0.97376,0.98517,0.65309,1.17933,0.87808,1.06593,0.0005446,0.0005446,0.0005446
25,1257.28,1.1248,0.84488,1.03891,0.98801,0.96448,0.986,0.66604,1.1534,0.87592,1.04918,0.0005248,0.0005248,0.0005248
26,1307.03,1.10672,0.84895,1.01902,0.96914,0.97528,0.98561,0.66452,1.14898,0.85101,1.0622,0.000505,0.000505,0.000505
27,1357.29,1.11089,0.83004,1.03536,0.98312,0.9856,0.98681,0.66261,1.16988,0.85694,1.06437,0.0004852,0.0004852,0.0004852
28,1407.44,1.10036,0.83045,1.02425,0.97923,0.98085,0.98639,0.66163,1.17405,0.86157,1.07767,0.0004654,0.0004654,0.0004654
29,1457.67,1.10398,0.82757,1.0302,0.98157,0.97411,0.98641,0.66133,1.1865,0.84611,1.07351,0.0004456,0.0004456,0.0004456
30,1509.24,1.09517,0.80047,1.02335,0.98144,0.97701,0.98641,0.64401,1.21343,0.84879,1.08877,0.0004258,0.0004258,0.0004258
31,1559.73,1.08668,0.78992,1.01437,0.98157,0.96197,0.98454,0.652,1.19453,0.8346,1.07939,0.000406,0.000406,0.000406
32,1610.84,1.0566,0.77393,1.01162,0.9862,0.9714,0.98572,0.64939,1.16843,0.83824,1.07019,0.0003862,0.0003862,0.0003862
33,1661.15,1.07627,0.81059,1.00703,0.98512,0.96787,0.98606,0.65504,1.17853,0.81277,1.07319,0.0003664,0.0003664,0.0003664
34,1711.26,1.05976,0.78102,1.01237,0.96584,0.98181,0.98604,0.65114,1.18187,0.79056,1.0718,0.0003466,0.0003466,0.0003466
35,1762.79,1.10504,0.78328,1.02696,0.98593,0.97555,0.98605,0.64756,1.18831,0.79984,1.07924,0.0003268,0.0003268,0.0003268
36,1813.53,1.09632,0.79067,1.0057,0.97734,0.97635,0.9856,0.63583,1.22292,0.80534,1.08012,0.000307,0.000307,0.000307
37,1864.69,1.074,0.7733,1.01007,0.97017,0.97527,0.98559,0.65269,1.173,0.79893,1.06557,0.0002872,0.0002872,0.0002872
38,1917.09,1.0571,0.76642,1.00009,0.9796,0.98206,0.988,0.65868,1.16334,0.78659,1.05994,0.0002674,0.0002674,0.0002674
39,1969.47,1.05718,0.74978,1.00676,0.97519,0.9796,0.98858,0.65938,1.15611,0.77291,1.05553,0.0002476,0.0002476,0.0002476
40,2020.4,1.04676,0.74314,0.98769,0.97856,0.98054,0.98826,0.65849,1.15145,0.76958,1.0521,0.0002278,0.0002278,0.0002278
41,2069.93,1.04238,0.86665,1.0312,0.97764,0.97922,0.98754,0.66955,1.16538,0.79094,1.05329,0.000208,0.000208,0.000208
42,2119.19,1.02987,0.79324,1.00353,0.94939,0.98403,0.9844,0.65381,1.20308,0.87027,1.06615,0.0001882,0.0001882,0.0001882
43,2168.9,1.00453,0.79197,0.99851,0.96831,0.9789,0.98841,0.66733,1.16156,0.80559,1.04472,0.0001684,0.0001684,0.0001684
44,2218.51,0.99015,0.75767,1.01646,0.96876,0.98332,0.98852,0.66021,1.17263,0.78526,1.05396,0.0001486,0.0001486,0.0001486
45,2268.24,0.99701,0.74994,0.99598,0.9723,0.9834,0.98744,0.65924,1.1619,0.7803,1.05212,0.0001288,0.0001288,0.0001288
46,2317.71,0.97534,0.73613,1.00264,0.97742,0.9828,0.98567,0.65926,1.17619,0.78395,1.04913,0.000109,0.000109,0.000109
47,2367.27,0.97532,0.72642,0.99744,0.97687,0.98036,0.9857,0.65668,1.16632,0.77459,1.04986,8.92e-05,8.92e-05,8.92e-05
48,2416.76,0.97051,0.71604,0.99443,0.97591,0.98156,0.98717,0.66883,1.16099,0.76676,1.0489,6.94e-05,6.94e-05,6.94e-05
49,2467.91,0.9568,0.71653,0.99361,0.97713,0.98583,0.98782,0.66371,1.16334,0.76351,1.04955,4.96e-05,4.96e-05,4.96e-05
50,2518.16,0.95461,0.70903,0.993,0.97687,0.98627,0.98764,0.66066,1.16366,0.75934,1.04705,2.98e-05,2.98e-05,2.98e-05
